N,S,Comparisons,Time
1000000,53,23185067,0.095998667
1000000,54,23185067,0.095284333
1000000,55,23185067,0.096322333
1000000,56,23185067,0.095562333
1000000,57,23185067,0.096941667
1000000,58,23185067,0.095905333
1000000,59,23185067,0.09572
1000000,60,23185067,0.095025667
1000000,61,29645427,0.096657333
1000000,62,29890265,0.097029667
1000000,63,29890265,0.096577667
1000000,64,29890265,0.097167
1000000,65,29890265,0.099149
1000000,66,29890265,0.098309333
1000000,67,29890265,0.096872667
1000000,68,29890265,0.097786333
1000000,69,29890265,0.096249
1000000,70,29890265,0.098295
1000000,71,29890265,0.098153
1000000,72,29890265,0.098145667
1000000,73,29890265,0.096754667
1000000,74,29890265,0.097463333
1000000,75,29890265,0.097657333
1000000,76,29890265,0.098162
1000000,77,29890265,0.097052333
1000000,78,29890265,0.098543667
1000000,79,29890265,0.097644667
1000000,80,29890265,0.098158667
1000000,81,29890265,0.098588667
1000000,82,29890265,0.096757667
1000000,83,29890265,0.097245333
1000000,84,29890265,0.098512667
1000000,85,29890265,0.096925
1000000,86,29890265,0.097753333
1000000,87,29890265,0.097791667
1000000,88,29890265,0.096062
1000000,89,29890265,0.098286
1000000,90,29890265,0.097696333
1000000,91,29890265,0.098253667
1000000,92,29890265,0.097048
1000000,93,29890265,0.097631
1000000,94,29890265,0.098092333
1000000,95,29890265,0.097883333
1000000,96,29890265,0.097284333
1000000,97,29890265,0.099053667
1000000,98,29890265,0.097377667
1000000,99,29890265,0.097677667
1000000,100,29890265,0.097699667
1000000,101,29890265,0.098467
1000000,102,29890265,0.098452
1000000,103,29890265,0.097634
1000000,104,29890265,0.097073667
1000000,105,29890265,0.097937667
1000000,106,29890265,0.097154667
1000000,107,29890265,0.097082667
1000000,108,29890265,0.097099667
1000000,109,29890265,0.097931333
1000000,110,29890265,0.098296
1000000,111,29890265,0.097776
1000000,112,29890265,0.097766333
1000000,113,29890265,0.096909
1000000,114,29890265,0.096210667
1000000,115,29890265,0.095623333
1000000,116,29890265,0.096199667
1000000,117,29890265,0.095871
1000000,118,29890265,0.096338667
1000000,119,29890265,0.095844
1000000,120,29890265,0.096474
1000000,121,29890265,0.094689
1000000,122,43198447,0.100747333
1000000,123,44213274,0.102208
1000000,124,44213274,0.102574667
1000000,125,44213274,0.102200333
1000000,126,44213274,0.102237667
1000000,127,44213274,0.102477667
1000000,128,44213274,0.101550333
10000000,1,220105452,1.562580667
10000000,2,220105452,1.421962333
10000000,3,220105176,1.357460667
10000000,4,220226743,1.333756
10000000,5,221110571,1.281047
10000000,6,221110571,1.301248
10000000,7,221110571,1.281423
10000000,8,221110571,1.29243
10000000,9,223153840,1.268986333
10000000,10,226418202,1.227734
10000000,11,226418202,1.235736667
10000000,12,226418202,1.224475
10000000,13,226418202,1.237484
10000000,14,226418202,1.217678
10000000,15,226418202,1.218068333
10000000,16,226418202,1.238271333
10000000,17,226418202,1.265669333
10000000,18,226418202,1.268828667
10000000,19,241008749,1.229614
10000000,20,242324797,1.214868
10000000,21,242324797,1.190069667
10000000,22,242324797,1.235947333
10000000,23,242324797,1.233807667
10000000,24,242324797,1.214506333
10000000,25,242324797,1.238474333
10000000,26,242324797,1.250148333
10000000,27,242324797,1.243862333
10000000,28,242324797,1.23527
10000000,29,242324797,1.248144
10000000,30,242324797,1.222609
10000000,31,242324797,1.254164333
10000000,32,242324797,1.25607
10000000,33,242324797,1.242009333
10000000,34,242324797,1.237581667
10000000,35,242324797,1.242962333
10000000,36,242324797,1.241561
10000000,37,242324797,1.242464333
10000000,38,275246728,1.189322333
10000000,39,281245502,1.183130667
10000000,40,281245502,1.186320667
10000000,41,281245502,1.185554333
10000000,42,281245502,1.214067333
10000000,43,281245502,1.221019
10000000,44,281245502,1.194894667
10000000,45,281245502,1.216172333
10000000,46,281245502,1.224746
10000000,47,281245502,1.217340667
10000000,48,281245502,1.207892
10000000,49,281245502,1.209518
10000000,50,281245502,1.209507
10000000,51,281245502,1.215064
10000000,52,281245502,1.204200333
10000000,53,281245502,1.214908
10000000,54,281245502,1.220336333
10000000,55,281245502,1.234802
10000000,56,281245502,1.229105667
10000000,57,281245502,1.229285
10000000,58,281245502,1.207119
10000000,59,281245502,1.200840333
10000000,60,281245502,1.205911
10000000,61,281245502,1.229357667
10000000,62,281245502,1.236705667
10000000,63,281245502,1.233535333
10000000,64,281245502,1.216232667
10000000,65,281245502,1.230867333
10000000,66,281245502,1.223548
10000000,67,281245502,1.206302
10000000,68,281245502,1.233482333
10000000,69,281245502,1.203513333
10000000,70,281245502,1.207710667
10000000,71,281245502,1.223144
10000000,72,281245502,1.235688667
10000000,73,281245502,1.177626667
10000000,74,281245502,1.194848667
10000000,75,281245502,1.193064
10000000,76,341540346,1.212645333
10000000,77,367356238,1.246124
10000000,78,367356238,1.246711333
10000000,79,367356238,1.245051333
10000000,80,367356238,1.246160667
10000000,81,367356238,1.261704333
10000000,82,367356238,1.248613333
10000000,83,367356238,1.251214
10000000,84,367356238,1.249249667
10000000,85,367356238,1.247142667
10000000,86,367356238,1.259494
10000000,87,367356238,1.257423333
10000000,88,367356238,1.232718667
10000000,89,367356238,1.21971
10000000,90,367356238,1.246845333
10000000,91,367356238,1.253069667
10000000,92,367356238,1.243885333
10000000,93,367356238,1.249456333
10000000,94,367356238,1.252453667
10000000,95,367356238,1.255381
10000000,96,367356238,1.230596333
10000000,97,367356238,1.258670667
10000000,98,367356238,1.232602667
10000000,99,367356238,1.243571
10000000,100,367356238,1.265728
10000000,101,367356238,1.250005667
10000000,102,367356238,1.250057667
10000000,103,367356238,1.240988667
10000000,104,367356238,1.252776333
10000000,105,367356238,1.233633333
10000000,106,367356238,1.251848333
10000000,107,367356238,1.264017333
10000000,108,367356238,1.265760667
10000000,109,367356238,1.245241667
10000000,110,367356238,1.264734333
10000000,111,367356238,1.244844667
10000000,112,367356238,1.241880333
10000000,113,367356238,1.249401667
10000000,114,367356238,1.222026333
10000000,115,367356238,1.252840667
10000000,116,367356238,1.247936
10000000,117,367356238,1.237321
10000000,118,367356238,1.244961
10000000,119,367356238,1.265719333
10000000,120,367356238,1.261038
10000000,121,367356238,1.241698667
10000000,122,367356238,1.249041
10000000,123,367356238,1.246327667
10000000,124,367356238,1.254168
10000000,125,367356238,1.238503667
10000000,126,367356238,1.262251
10000000,127,367356238,1.262273
10000000,128,367356238,1.228822
